Key,en | English (UK),zh | Chinese (Simplified),de | German,it | Italian,pt | Portuguese (Brazil),ro | Romanian,da | Danish,es | Spanish,fr | French,tr | Turkish
error.failedToUpdateTeam, Failed to update team, 更新团队失败, Team konnte nicht aktualisiert werden, Impossibile aggiornare il team, Falha ao atualizar a equipe, Nu s-a reușit actualizarea echipei, Kunne ikke opdatere team, Error al actualizar el equipo, Échec de la mise à jour de l'équipe, Takım güncellenemedi
error.failedToDeleteMember, Failed to delete member, 删除成员失败, Mitglied konnte nicht gelöscht werden, Impossibile eliminare il membro, Falha ao excluir o membro, Nu s-a reușit ștergerea membrului, Kunne ikke slette medlem, Error al eliminar el miembro, Échec de la suppression du membre, Üye silinemedi
error.failedToUpdateRole, Failed to update role, 更新角色失败, Rolle konnte nicht aktualisiert werden, Impossibile aggiornare il ruolo, Falha ao atualizar a função, Nu s-a reușit actualizarea rolului, Kunne ikke opdatere rolle, Error al actualizar el rol, Échec de la mise à jour du rôle, Rol güncellenemedi
error.failedToDeleteTeam, Failed to delete team, 删除团队失败, Team konnte nicht gelöscht werden, Impossibile eliminare il team, Falha ao excluir a equipe, Nu s-a reușit ștergerea echipei, Kunne ikke slette team, Error al eliminar el equipo, Échec de la suppression de l'équipe, Takım silinemedi
error.failedToFetchDomains, Failed to fetch domains, 获取域名失败, Abrufen von Domains fehlgeschlagen, Impossibile recuperare i domini, Falha ao buscar domínios, Nu s-a reușit obținerea domeniilor, Kunne ikke hente domæner, Error al recuperar dominios, Échec de la récupération des domaines, Alan adları alınamadı
error.invalidDomain, Invalid domain format, 无效的域名格式, Ungültiges Domänenformat, Formato di dominio non valido, Formato de domínio inválido, Format de domeniu nevalid, Ugyldigt domæneformat, Formato de dominio no válido, Format de domaine non valide, Geçersiz alan adı biçimi
error.failedToCreateDomain, Failed to create domain, 创建域名失败, Erstellen der Domäne fehlgeschlagen, Impossibile creare il dominio, Falha ao criar o domínio, Nu s-a reușit crearea domeniului, Kunne ikke oprette domæne, Error al crear el dominio, Échec de la création du domaine, Alan adı oluşturulamadı
success.successfullyCreatedLabelAndOrder,Successfully created label and order,成功创建标签和订单,Etikett und Bestellung erfolgreich erstellt,Etichetta e ordine creati con successo,Etiqueta e pedido criados com sucesso,Ați creat cu succes eticheta și comanda,Vellykket oprettelse af label og ordre,Etiqueta y pedido creados correctamente,Création réussie de l'étiquette et de la commande,Etiket ve sipariş başarıyla oluşturuldu
success.successfullyCreatedOrder,Successfully created order,成功创建订单,Erfolgreich erstellte Bestellung,Ordine creato con successo,Pedido criado com sucesso,Comandă creată cu succes,Ordre oprettet med succes,Pedido creado correctamente,Commande créée avec succès,Başarıyla oluşturulmuş sipariş
success.successfullyGeneratedOrder,Successfully generated order,成功生成订单,Erfolgreich generierte Bestellung,Ordine generato con successo,Pedido gerado com sucesso,Comandă generată cu succes,Ordre genereret med succes,Pedido generado correctamente,Commande générée avec succès,Başarıyla oluşturulmuş sipariş
success.successfullyDeletedOrder,Successfully deleted order,成功删除订单,Erfolgreich gelöschte Bestellung,Ordine cancellato con successo,Pedido excluído com êxito,Comandă ștearsă cu succes,Ordre slettet med succes,Pedido eliminado correctamente,Suppression de la commande avec succès,Sipariş başarıyla silindi
success.successfullyUpdatedUserProfile,Successfully updated user profile,成功更新用户配置文件,Benutzerprofil erfolgreich aktualisiert,Aggiornato con successo il profilo utente,Atualização bem-sucedida do perfil do usuário,Ați actualizat cu succes profilul utilizatorului,Vellykket opdatering af brugerprofil,Perfil de usuario actualizado correctamente,Mise à jour du profil utilisateur réussie,Kullanıcı profili başarıyla güncellendi
success.successfullyStartedDownloadingQR,Successfully started downloading QR,成功开始下载 QR,Download von QR erfolgreich gestartet,Avviato con successo il download di QR,Iniciado com êxito o download do QR,A început cu succes descărcarea QR,Download af QR er startet med succes,Iniciada correctamente la descarga de QR,Lancement réussi du téléchargement de QR,QR indirilmeye başarıyla başlandı
success.successfullyUpdatedUserLanguage,Successfully updated user language,成功更新用户语言,Benutzersprache erfolgreich aktualisiert,Aggiornata con successo la lingua dell'utente,Idioma do usuário atualizado com sucesso,A actualizat cu succes limba utilizatorului,Opdateret brugerens sprog med succes,Se ha actualizado correctamente el idioma del usuario,Mise à jour réussie de la langue de l'utilisateur,Kullanıcı dili başarıyla güncellendi
success.successfullyUpdatedLabelName,Successfully updated label name,成功更新标签名称,Etikettenname erfolgreich aktualisiert,Aggiornato con successo il nome dell'etichetta,Nome da etiqueta atualizado com sucesso,A actualizat cu succes numele etichetei,Vellykket opdatering af etiketnavn,Se ha actualizado correctamente el nombre de la etiqueta,Mise à jour réussie du nom de l'étiquette,Etiket adı başarıyla güncellendi
success.successfullyUpdatedOderName,Successfully updated oder name,成功更新订单名称,Auftragsname erfolgreich aktualisiert,Aggiornato con successo il nome dell'ordine,Nome do pedido atualizado com sucesso,A fost actualizat cu succes numele de comandă,Succesfuld opdatering af ordrenavn,Se ha actualizado correctamente el nombre del pedido,Mis à jour avec succès le nom de la commande,Sipariş adı başarıyla güncellendi
success.successfullyDeleted_name,Successfully deleted {{name}},成功删除{{name}},Erfolgreich gelöscht {{name}},Cancellato con successo {{name}},Excluído com sucesso {{name}},Șters cu succes {{name}},Slettet {{name}} med succes,Eliminado correctamente {{name}},Supprimé avec succès {{name}},Başarıyla silindi {{name}}
success.successfullyUpdatedOrder,Successfully updated order,成功更新订单,Bestellung erfolgreich aktualisiert,Ordine aggiornato con successo,Ordem atualizada com sucesso,A actualizat cu succes comanda,Vellykket opdatering af ordre,Pedido actualizado correctamente,Mise à jour réussie de la commande,Sipariş başarıyla güncellendi
success.generationProcessHasBeenStarted,Generation process has been started,生成过程已开始,Generierungsprozess wurde gestartet,Il processo di generazione è stato avviato,O processo de geração foi iniciado,Procesul de generare a fost inițiat,Genereringsprocessen er startet,Se ha iniciado el proceso de generación,Le processus de génération a été lancé,Üretim süreci başlatıldı
success.generationForOrderHasBeenCompleted,Generation for order has been completed,订单生成已完成,Generierung für Auftrag wurde abgeschlossen,La generazione dell'ordine è stata completata,A geração do pedido foi concluída,Generarea comenzii a fost finalizată,Generering af ordre er afsluttet,Se ha completado la generación del pedido,La génération de la commande est terminée,Sipariş için üretim tamamlandı
success.copiedToClipboard, Copied to clipboard, 已复制到剪贴板, In die Zwischenablage kopiert, Copiato negli appunti, Copiado para a área de transferência, Copiat în clipboard, Kopieret til udklipsholder, Copiado al portapapeles, Copié dans le presse-papiers, Panoya kopyalandı
success.successfullyRestartedDomainVerification, Successfully restarted domain verification, 成功重新开始域名验证, Domain-Verifizierung erfolgreich neu gestartet, Verifica del dominio riavviata con successo, Verificação de domínio reiniciada com sucesso, Verificarea domeniului a fost repornită cu succes, Domæneverifikation genstartet med succes, Verificación de dominio reiniciada correctamente, Vérification de domaine redémarrée avec succès, Alan adı doğrulaması başarıyla yeniden başlatıldı
formMessages.mobileNumberIsRequired,Mobile number is required,需要手机号码,Handynummer ist erforderlich,Il numero di cellulare è richiesto,O número do celular é obrigatório,Este necesar numărul de telefon mobil,Mobilnummer er påkrævet,El número de móvil es obligatorio,Le numéro de portable est requis,Cep telefonu numarası gereklidir
formMessages.mobileNumberIsInvalid,Mobile number is invalid,手机号码无效,Handynummer ist ungültig,Il numero di cellulare non è valido,O número do celular é inválido,Numărul de telefon mobil nu este valabil,Mobilnummer er ugyldigt,El número de móvil no es válido,Le numéro de portable n'est pas valide,Cep telefonu numarası geçersiz
formMessages.codeIsRequired,Code is required,代码为必填项,Code ist erforderlich,Il codice è richiesto,O código é obrigatório,Codul este necesar,Kode er påkrævet,Código obligatorio,Le code est requis,Kod gereklidir
formMessages.firstNameIsRequired,First name is required,姓名为必填项,Vorname ist erforderlich,Il nome è richiesto,O primeiro nome é obrigatório,Prenumele este obligatoriu,Fornavn er påkrævet,El nombre es obligatorio,Le prénom est requis,İlk isim gereklidir
formMessages.lastNameIsRequired,Last name is required,姓是必填项,Nachname ist erforderlich,Il cognome è obbligatorio,O sobrenome é obrigatório,Numele de familie este obligatoriu,Efternavn er påkrævet,Apellido obligatorio,Le nom de famille est requis,Soyadı gereklidir
formMessages.workEmailIsRequired,Work email is required,工作电子邮件为必填项,Arbeits-E-Mail ist erforderlich,L'email di lavoro è richiesta,E-mail do trabalho é obrigatório,E-mailul de serviciu este obligatoriu,Arbejds-e-mail er påkrævet,Correo electrónico del trabajo es obligatorio,L'email professionnel est requis,İş e-postası gereklidir
formMessages.workEmailIsInvalid,Work email is invalid,工作电子邮件无效,Arbeits-E-Mail ist ungültig,L'email di lavoro non è valida,O e-mail do trabalho é inválido,E-mailul de la locul de muncă nu este valabil,Arbejds-e-mail er ugyldig,El correo electrónico del trabajo no es válido,L'email professionnel n'est pas valide,İş e-postası geçersiz
formMessages.internalFormError,Internal Form Error,内部表格错误,,,,,,,,
formMessages.invalidEmailFormat, Invalid email format, 电子邮件格式无效, Ungültiges E-Mail-Format, Formato email non valido, Formato de e-mail inválido, Format e-mail nevalid, Ugyldigt e-mail-format, Formato de correo electrónico no válido, Format e-mail invalide, Geçersiz e-posta biçimi
formMessages.projectNameIsRequired,Project name is required,,,,,,,,
inviteUser.viewer,Viewer,,,,,,,,,
inviteUser.editor,Editor,,,,,,,,,
analytics.headlineOrder,Order #{{num}},,,,,,,,,
analytics.filterDay,D,,,,,,,,,
analytics.filterWeek,W,,,,,,,,,
analytics.filterMonth,M,,,,,,,,,
analytics.filterHalfYear,6M,,,,,,,,,
analytics.filterMax,MAX,,,,,,,,,
analytics.headlineCodes,{{num}} QR Codes,,,,,,,,,
analytics.headlineSingle,{{num}} Labels 1 QR Code,,,,,,,,,
analytics.headlineScans,QR Scans,,,,,,,,,
analytics.headlineBrowserType,QR Scans by Browser Type,,,,,,,,,
analytics.headlineCity,QR Scans by City,,,,,,,,,
analytics.headlineApp,QR Scans by App,,,,,,,,,
analytics.headlineUserType,QR Scans by User Type,,,,,,,,,
analytics.noData,No Data,,,,,,,,,
analytics.dateFormat,{{month_name}} {{day}}‚ {{year}},,,,,,,,,
analytics.noData, No data, 暂无数据, Noch keine Daten, Ancora nessun dato, Ainda sem dados, Încă nu există date, Endnu ingen data, Aún no hay datos, Pas encore de données, Henüz veri yok
analytics.activateProtect, Activate {{newline}} Brand Protection, 激活品牌保护, Aktivieren Sie den Markenschutz, Attiva la protezione del marchio, Ativar Proteção de Marca, Activați Protecția mărcii, Aktivér Brandbeskyttelse, Activar Protección de Marca, Activer la protection de la marque, Marka Koruma'yı Etkinleştir
analytics.activateTrack, Activate {{newline}} Track & Trace, 激活追踪与溯源, Aktivieren Sie Track & Trace, Attiva Track & Trace, Ativar Rastreamento e Rastreamento, Activați Track & Trace, Aktivér Track & Trace, Activar Track & Trace, Activer Track & Trace, Takip ve İzleme'yi Etkinleştir
analytics.activate, Activate, 激活, Aktivieren, Attiva, Ativar, Activați, Aktivér, Activar, Activer, Etkinleştir
date.monthNameJanuary,January,,,,,,,,,
date.monthNameFebruary,February,,,,,,,,,
date.monthNameMarch,March,,,,,,,,,
date.monthNameApril,April,,,,,,,,,
date.monthNameMay,May,,,,,,,,,
date.monthNameJune,June,,,,,,,,,
date.monthNameJuly,July,,,,,,,,,
date.monthNameAugust,August,,,,,,,,,
date.monthNameSeptember,September,,,,,,,,,
date.monthNameOctober,October,,,,,,,,,
date.monthNameNovember,November,,,,,,,,,
date.monthNameDecember,December,,,,,,,,,
date.monthInitialJanuary,J,,,,,,,,,
date.monthInitialFebruary,F,,,,,,,,,
date.monthInitialMarch,M,,,,,,,,,
date.monthInitialApril,A,,,,,,,,,
date.monthInitialMay,M,,,,,,,,,
date.monthInitialJune,J,,,,,,,,,
date.monthInitialJuly,J,,,,,,,,,
date.monthInitialAugust,A,,,,,,,,,
date.monthInitialSeptember,S,,,,,,,,,
date.monthInitialOctober,O,,,,,,,,,
date.monthInitialNovember,N,,,,,,,,,
date.monthInitialDecember,D,,,,,,,,,
date.dayNameMonday,Monday,,,,,,,,,
date.dayNameTuesday,Tuesday,,,,,,,,,
date.dayNameWednesday,Wednesday,,,,,,,,,
date.dayNameThursday,Thursday,,,,,,,,,
date.dayNameFriday,Friday,,,,,,,,,
date.dayNameSaturday,Saturday,,,,,,,,,
date.dayNameSunday,Sunday,,,,,,,,,
date.dayInitialMonday,M,,,,,,,,,
date.dayInitialTuesday,T,,,,,,,,,
date.dayInitialWednesday,W,,,,,,,,,
date.dayInitialThursday,T,,,,,,,,,
date.dayInitialFriday,F,,,,,,,,,
date.dayInitialSaturday,S,,,,,,,,,
date.dayInitialSunday,S,,,,,,,,,
intro.headline,Welcome!,,,,,,,,,
intro.subline,Let’s create QRs.,,,,,,,,,
intro.cta,Create,,,,,,,,,
orderDetailPage.title, IDs for Order, 订单 ID, IDs für Bestellung, ID per ordine, IDs para pedido, ID-uri pentru comandă, IDs for ordre, IDs para pedido, IDs pour la commande, Sipariş için kimlikler
orderDetailPage.all, All, 全部, Alle, Tutti, Todos, Toate, Alle, Todos, Tous, Hepsi
orderDetailPage.noScans, No Scans, 暂无扫描记录, Noch keine Scans, Ancora nessuna scansione, Ainda sem digitalizações, Încă nu există scanări, Endnu ingen scanninger, Aún no hay escaneos, Pas encore de scans, Henüz tarama yok
orderDetailPage.scanned, Scanned, 已扫描, Gescannt, Scansionato, Digitalizado, Scanat, Scannet, Escaneado, Scanné, Tarama
orderDetailPage.searchId, Search ID, 搜索 ID, Such-ID, ID di ricerca, ID de pesquisa, ID de căutare, Søg ID, ID de búsqueda, ID de recherche, Arama kimliği
orderDetailPage.id_one, ID, ID, ID, ID, ID, ID, ID, ID, ID, ID
orderDetailPage.id_other, IDs, IDs, IDs, IDs, IDs, IDs, IDs, IDs, IDs, IDs
orderDetailPage.scan_one, Scan, Scan, Scansione, Digitalização, Scanare, Scan, Escanear, Scan, Scan, Tarama
orderDetailPage.scan_other, Scans, Scans, Scans, Scans, Scans, Scans, Scans, Scans, Scans, Scans
orderDetailPage.lastScan, Last Scan, 最后扫描, Letzter Scan, Ultima scansione, Última digitalização, Ultima scanare, Seneste scan, Última exploración, Dernière analyse, Son tarama
orderDetailPage.noResults, No results, 暂无结果, Keine Ergebnisse, Nessun risultato, Sem resultados, Niciun rezultat, Ingen resultater, Sin resultados, Aucun résultat, Sonuç yok
